Локация;Цена;Цена за кв\м;аннотация;просмотры
1-комнатная, улица Острогорная 13 кор. 1;7 532 150 руб;198 737 руб/кв.м;Змеинка, застройщик, 37,9 кв. м., 5/25 этаж;2733
1-комнатная, улица Острогорная 13 кор. 1;7 079 400 руб;191 335 руб/кв.м;Змеинка, застройщик, 37 кв. м., 15/25 этаж;2438
Гостинка, улица Лермонтова 79а;4 150 000 руб;182 819 руб/кв.м;Трудовое, агентство, 22,7 кв. м., 8/9 этаж;1008
3-комнатная, улица Острогорная 13 кор. 1;14 528 640 руб;190 165 руб/кв.м;Змеинка, застройщик, 76,4 кв. м., 7/25 этаж;2517
2-комнатная, улица Острогорная 13 кор. 1;10 317 440 руб;188 964 руб/кв.м;Змеинка, застройщик, 54,6 кв. м., 11/22 этаж;1678
2-комнатная, улица Октябрьская 25б;16 209 000 руб;300 167 руб/кв.м;Центр, застройщик, 54 кв. м., 3/15 этаж;3377
1-комнатная, улица Нейбута 141 кор. 1;7 000 000 руб;198 864 руб/кв.м;64, 71 микрорайоны, агентство, 35,2 кв. м., 6/25 этаж Сдача в II кв. 2027;190
3-комнатная, улица Маковского 55 кор. 1;24 500 000 руб;271 318 руб/кв.м;Седанка, частное лицо, 90,3 кв. м., 13/26 этаж;1244
Доля, улица Маковского 180;5 100 000 руб;242 857 руб/кв.м;Океанская, частное лицо, 21 кв. м. (доля), 2/3 этаж;2113
1-комнатная, улица Нейбута 137 стр. 3;7 020 731 руб;192 877 руб/кв.м;64, 71 микрорайоны, застройщик, 36,4 кв. м.;3698
1-комнатная, улица Нейбута 137 стр. 3;7 231 103 руб;181 686 руб/кв.м;64, 71 микрорайоны, застройщик, 39,8 кв. м. Сдача в IV кв. 2026;928
1-комнатная, улица Аксаковская 3;17 200 000 руб;363 636 руб/кв.м;Центр, частное лицо, 47,3 кв. м., 4/24 этаж;419
